Label;Summary;Description;Components;Issue Type;Epic Link;Epic Name;Estimate;Story Points;Labels;Assignee;Status;Issue id;Parent id
PortfolioAssessment;APA-E01-Portfolio Pre-Requisites;APA-E01-Portfolio Pre-Requisites;Portfolio;Epic ;;APA-E01-Portfolio Pre-Requisites;;;PortfoloInitiation;;To Do;;
PortfolioAssessment;APA-E01-001-Update Portfolio Activity Plan;As a Migration Consultant I want to review/update the Portfolio Activity Plan and backlog. Acceptance Criteria: -Portfolio Timeline and backlog updated;Portfolio;Story;APA-E01-Portfolio Pre-Requisites;;;2;PortfoloInitiation;;To Do;;
PortfolioAssessment;APA-E01-002-Assess Discovery Data Sources & Tooling;As a Migration Consultant I want to conduct a workshop so that I can identify existent sources of data and assess discovery tooling requirements. Acceptance Criteria: -CMDB/Inventory extracts obtained. -Discussed/Analized options for Programmatic Discovery Tooling. -Discussed need for Tooling security assessment and conduct the assessment. -MRA/CART results reviewed (if applicable). -Sources of data (e.g., performance, monitoring, and management tools) analyzed and documented. -Discovery Tooling deployment requirements analyzed. -Overview of the customer environment (e.g., authentication mechanisms, deployment methods, security zones) documented;Portfolio;Story;APA-E01-Portfolio Pre-Requisites;;;2;PortfoloInitiation;;To Do;;
PortfolioAssessment;APA-E01-003-Procure Discovery Tooling and/or Obtain Approval for Deployment;As a Migration Consultant I want to work with the relevant customer teams so that a Discovery Tool can be procured/approved for deployment. Acceptance Criteria: -Discovery Tool Procured. -Discovery Tool Approved for Deployment (including security sign-off);Portfolio;Story;APA-E01-Portfolio Pre-Requisites;;;13;PortfoloInitiation;;To Do;;
PortfolioAssessment;APA-E01-004-Identify Stakeholders for Portfolio Discovery Workshops;As a Migration Consultant I want to identify key stakeholders so that Portfolio Discovery Workshops can be planned and performed. Acceptance Criteria: - Stakeholders confirmed;Portfolio;Story;APA-E01-Portfolio Pre-Requisites;;;2;PortfoloInitiation;;To Do;;
PortfolioAssessment;APA-E02-Initial Discovery;APA-E02-Initial Discovery;Portfolio;Epic ;;APA-E02-Initial Discovery;;;DAP;;To Do;;
PortfolioAssessment;APA-E02-001-Plan Portfolio Discovery Workshops;As a Migration Consultant I want to perform planning for the Discovery Workshop(s) so that discovery activities can take place. Acceptance Criteria: -Workshop requirements reviewed. -checklist completed. - Agenda validated/updated.;Portfolio;Story;APA-E02-Initial Discovery;;;3;DAP;;To Do;;
PortfolioAssessment;APA-E02-002-Document Portfolio Business Drivers;As a Migration Consultant I want to document/review Business Drivers (Business Outcomes and Goals) and Technical Guiding Principles so that I can use them as input for subsequent portfolio activities. Acceptance Criteria:  -Business Drivers and Technical Guiding Principles documented;Portfolio;Story;APA-E02-Initial Discovery;;;2;DAP;;To Do;;
PortfolioAssessment;APA-E02-003-Review Application/Infrastructure Data Requirements;As a Migration Consultant I want to socialize data requirements for Portfolio Discovery so that my customer understandsthe data elements that are required, how and where data will be stored, and have suffient time to gather data points in advance of subsequent activities. Acceptance Criteria: -data requirements and attributes reviewed/socialized/discussed. -Data Repository established (single source of truth);Portfolio;Story;APA-E02-Initial Discovery;;;2;DAP;;To Do;;
PortfolioAssessment;"APA-E02-004-Identify Application/Infrastructure Scope	";As a Migration Consultant I want to review the application and infrastructure scope for this program so that I can plan for Data Collection. Acceptance Criteria: -Scope identified. -Target systems for Discovery Tooling identifed. -Target systems for manual discovery identified (cases where tooling cannot be used due to compatibility/support or other reasons);Portfolio;Story;APA-E02-Initial Discovery;;;3;DAP;;To Do;;
PortfolioAssessment;APA-E02-005-Establigh Initial Application Prioritization Criteria;As a Migration Consultant I want to establish an initial application prioritization criteria so that an indicative group of prioritized applications can be identified. Acceptance Criteria: -Initial application Prioritization Criteria established;Portfolio;Story;APA-E02-Initial Discovery;;;1;DAP;;To Do;;
PortfolioAssessment;APA-E02-006-Plan for discovery tooling roll-out;As a Migration Consultant I want to use the identified migration scope to plan for discovery tooling roll-out so that all in-scope systems are targeted/accesible by the tool of choice. Acceptance Criteria: -Tooling Roll-out defined. ;Portfolio;Story;APA-E02-Initial Discovery;;;2;DAP;;To Do;;
PortfolioAssessment;APA-E02-007-Roll-out Discovery Tooling;As a Migration Consultant I want to assist in the installation, configuration, and testing of the software and infrastructure for Discovery Tooling. Acceptance Criteria: -Discovery tooling components installed, configured, and tested.;Portfolio;Story;APA-E02-Initial Discovery;;;13;DAP;;To Do;;
PortfolioAssessment;APA-E02-008-Initiate Discovery Tooling Data Collection;As a Migration Consultant I want to initiate data collection to the in-scope systems so that I can collect data for analysis. Acceptance Criteria: -Data collection started on all in-scope systems;Portfolio;Story;APA-E02-Initial Discovery;;;34;DAP;;To Do;;
PortfolioAssessment;APA-E03-Portfolio Data Collection;APA-E03-Portfolio Data Collection;Portfolio;Epic;;APA-E03-Portfolio Data Collection;;;PortfolioDataCollection;;To Do;;
PortfolioAssessment;APA-E03-001-Monitor progress of discovery tooling data collection;As a Migration Consultant I want to follow-up on Data Collection to all targeted systems so that I can ensure a minimum of 2 weeks of programmatic data (or equivalent) is collected for all targeted systems. Acceptance Criteria: -Initial data collection completed. -2 weeks of data collected from all targeted systems;Portfolio;Story ;APA-E03-Portfolio Data Collection;;;13;PortfolioDataCollection;;To Do;;
PortfolioAssessment;APA-E03-002-Perfrom Manual Discovery Workshops/Activiites (if applicable);As a Migration Consultant I want to perform manual discovery on those systems/applications that cannot be targeted by a discovery tool so that I can collect data from these systems ahead of the Preliminary Analysis Workshop. Acceptance Criteria: -Manual Discovery completed;Portfolio;Story ;APA-E03-Portfolio Data Collection;;;34;PortfolioDataCollection;;To Do;;
PortfolioAssessment;APA-E04-Preliminary Portfolio Analysis;APA-E04-Preliminary Portfolio Analysis;Portfolio;Epic ;;APA-E04-Preliminary Portfolio Analysis;;;PortfolioAnalysis;;To Do;;
PortfolioAssessment;APA-E04-001-Review Asset & Dependency from Discovery Tooling Output;As a Migration Consultant I want to review the output from the Discovery Tooling (or equivalent) so that an initial inventory of infrastructure, applications, and dependencies can be established. Acceptance Criteria: -Data output reviewed;Portfolio;Story;APA-E04-Preliminary Portfolio Analysis;;;1;PortfolioAnalysis;;To Do;;
PortfolioAssessment;APA-E04-002-Directional Business Case;As a Migration Consultant I want to upload infrastructure data to Migration Evaluator so that a directional Business Case can be produced. Acceptance Criteria: -data uploaded. -Business Case report obtained;Portfolio;Story;APA-E04-Preliminary Portfolio Analysis;;;2;PortfolioAnalysis;;To Do;;
PortfolioAssessment;APA-E04-003-Identify Prioritized Applications;As a Migration Consultant I want to use the initial application prioritization criteria so that Wave 1 (or pilot appliations) can be identified. Acceptance Criteria: -Between 3 and 5 applications prioritized for migration/modernization;Portfolio;Story;APA-E04-Preliminary Portfolio Analysis;;;2;PortfolioAnalysis;;To Do;;
PortfolioAssessment;APA-E06-Portfolio Analysis and Migration Planning;APA-E06-Portfolio Analysis and Migration Planning;Portfolio;Epic;;APA-E06-Portfolio Analysis and Migration Planning;;;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-001-Plan Portfolio Analysis Workshops;As a Migration Consultant I want to perform planning for the Analysis Workshop(s) so that analysis activities can take place. Acceptance Criteria: -Analysis pre-requisistes reviewed. -Checklist completed. -Agenda validated/updated. ;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;3;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-002-Review Asset & Dependency Discovery Tooling Output;As a Migration Consultant I want to review the output from the Discovery Tooling (or equivalent) and socialize it with the relevant customer stakeholders so that to level-up on how data is presented and organized. Acceptance Criteria: -Data output reviewed and socialized;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;2;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-003-Iterate Applications metadata;As a Migration Consultant I want to work with the relevant stakeholders to review the in-scope Applications so that the application and infrastructure inventory can be enriched with further data. Acceptance Criteria: -Application Ownership/Operation teams documented. -Compliance/Regulatory requirements documented. -application(s) Business/Technical function documented (including app criticality information). -application(s) environment documented. -application(s) location documented. -application(s) to Infrastructure Mapping validated/updated. -Key application(s) dependencies documented. -Shared Infrastructure Services documented;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;13;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-004-Iterate 7R Disposition Tree;As a Migration Consultant I want to customize the base 7R Diposition Tree so that it can be refined and used as a guide to determinening migration/modernization strategy for in-scope applications and infrastructure. Acceptance Criteria: -7R disposition tree iterated. -7R disposition tree flow tested with sample applications. ;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;2;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-005-Iterate Application Prioritization Criteria;As a Migration Consultant I want to iterate the initial Application Prioritization Criteria so that in-scope Applications can be ranked in a desired migration/modernization sequence based on a given criteria. Acceptance Criteria:-Key attributes for Prioritization identified. -Weighting/scoring of attribute values established. -Relevance/Importance of selected attributes defined;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;2;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-006-Draft Wave Plan;As a Migration Consultant I want to establish an initial migration wave plan based on prioritization criteria and resulting depedendency groups so that subsequent migration planning activities can take place. Acceptance Criteria: -High-level Wave plan skeleton defined. -Wave 1 Depdendency Groups Identified;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;2;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-007-Baseline Application Prioritization Criteria;As a Migration Consultant I want to iterate and baseline the Application Prioritization Criteria so that I can use it in combination with portfolio data to produce a migration wave plan. Acceptance Criteria: -Application Prioritization Criteria Baselined;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;5;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-008-Baseline 7R Disposition Tree;As a Migration Consultant I want to iterate and baseline the 7R Disposition Tree so that I can use it to guide the Migration Strategy selection process. Acceptance Criteria: -Baselined 7R Diposition Tree;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;5;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-009-Baseline Portfolio Asset & Dependency Discovery;As a Migration Consultant I want to iterate and baseline the output of Discovery Tooling (or equivalent) and Manual Discovery so that an accurate application and associated infrastructure inventory can be confirmed. Acceptance Criteria: -Infrastructure(compute, storage, networks) inventory baselined. -Application Inventory Baselined. -Dependency mapping baselined;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;34;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-010-Baseline Application metadata;As a Migration Consultant I want to iterate and baseline the Appliation matadata so that I can document all key application attributes and mapped infrastructure. Acceptance Criteria: -Application metadata baselined;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;34;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-011-Baseline Dependency Groups and Wave Plan;As a Migration Consultant I want to iterate and baseline application Depdendency Groups and Migration Wave Plan so that I can establish a high-fidelity Migration Wave Plan for the project, inclusive of compelling events, migration schedule, and skilled resource capacity requirements. Acceptance Criteria: -Dependency Groups Baselined. -Wave plan Baselined. ;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;34;PortfolioIterationPlanning;;To Do;;
PortfolioAssessment;APA-E06-012-Confirm Pilot Applications;As a Migration Consultant I want to work with relevant stakeholders to identify and confirm a set of Pilot Applications for migration . Acceptance Criteria: -Pilot Applications identified;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;2;PortfolioPilotApplications;;To Do;;
PortfolioAssessment;APA-E06-013-Perform Pilot Applications Deep Dive;As a Migration Consultant I want to deep dive into the Pilot Applications so that I can undestand the AWS infrastructure requirements and evaluate the Migration Strategy to perform the migration. Acceptance Criteria: -Detailed Discovery completed and documented for Pilot Applications.;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;3;PortfolioPilotApplications;;To Do;;
PortfolioAssessment;APA-E06-014-Create Pilot Applications Architecture Design;As a Migration Consultant I want to define the target AWS Architecture for the Pilot Applications so that I can test and iterate the landing zone in advance of migration. Acceptance Criteria: -Initial AWS Architecture Design for Pilot Applications completed and documented;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;3;PortfolioPilotApplications;;To Do;;
PortfolioAssessment;APA-E06-015-Define Pilot Applications Migration Strategy;As a Migration Consultant I want to define the Migrastion Strategy for the Pilot Applications so that I can plan for migration. Acceptance Criteria: -Initial AWS Migration Strategy  defined and documented. ;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;3;PortfolioPilotApplications;;To Do;;
PortfolioAssessment;APA-E06-016-Handover Pilot Applications design to Migration workstream;As a Migration Consultant I want to handover the designs for the Pilot Applications to the Migration workstream. Acceptance Criteria: -Designs accepted by Migration workstream;Portfolio;Story;APA-E06-Portfolio Analysis and Migration Planning;;;8;PortfolioPilotApplications;;To Do;;
PortfolioAssessment;APA-E07-Portfolio Continuous Application Assessment (post-mobilize engagements only);APA-E07-Portfolio Continuous Application Assessment (post-mobilize engagements only);Portfolio;Epic;;APA-E07-Portfolio Continuous Application Assessment (post-mobilize engagements only);;;PortfolioContinuousAssessment;;To Do;;
PortfolioAssessment;APA-E07-001-Wave (n) Application Assessment;"As a Migration Consultant I want to perform a detailed assessment including target AWS architecture design and migration strategy for the applications in Wave n. Acceptance Criteria: -Detailed application assessment for Wave n completed. -AWS application Architecture Design for Wave n completed. -Migration Strategy for Wave n validated""";Portfolio;Story;APA-E07-Portfolio Continuous Application Assessment (post-mobilize engagements only);;;34;PortfolioContinuousAssessment;;To Do;;
